day_of_year,WSPD10,#rows,WSPD200,CF,EP
1.0,6.560209424083769,191,10.064197057627705,0.43165203654800227,155.39473315728083
2.0,7.458333333333333,192,11.442033559564832,0.6626411890527564,238.5508280589923
3.0,9.619791666666666,192,14.757986022706874,1.0,360.0
4.0,8.7,213,13.346908420319199,1.0,360.0
5.0,8.242592592592594,216,12.645187181532732,0.9155284875498283,329.5902555179382
6.0,9.643518518518519,216,14.794386036358501,1.0,360.0
7.0,8.733488372093024,215,13.398283849683702,1.0,360.0
8.0,9.251388888888888,216,14.192809225374551,1.0,360.0
9.0,9.5,214,14.574210344026714,1.0,360.0
10.0,9.871627906976745,215,15.144334900446658,1.0,360.0
11.0,7.534883720930233,215,11.55947160701262,0.6851315600922413,246.64736163320686
12.0,7.335348837209302,215,11.253359673715803,0.6274633842190603,225.8868183188617
13.0,8.72175925925926,216,13.380289896253377,1.0,360.0
14.0,7.996296296296297,216,12.26733728372463,0.8306378885109811,299.0296398639532
15.0,9.907943925233646,214,15.200048299281772,1.0,360.0
16.0,9.075000000000001,216,13.922206197057099,1.0,360.0
17.0,7.847906976744186,215,12.039689162044688,0.7819510081022512,281.5023629168104
18.0,9.418691588785046,214,14.449472882154572,1.0,360.0
19.0,9.706046511627909,215,14.890311944144408,1.0,360.0
20.0,7.7444444444444445,216,11.880964455890783,0.7490758006094385,269.66728821939785
21.0,8.330092592592592,216,12.779423329438238,0.9469374540102294,340.8974834436826
22.0,7.778604651162791,215,11.933370565165374,0.7598337884596537,273.5401638454753
23.0,10.545370370370371,216,16.177941677204704,1.0,360.0
24.0,10.242723004694835,213,15.713642059581456,1.0,360.0
25.0,9.169158878504673,214,14.066657912960757,1.0,360.0
26.0,10.284112149532712,214,15.777138280931627,1.0,360.0
27.0,8.344907407407407,216,12.802151142840229,0.9523211908453375,342.8356287043215
28.0,9.132710280373832,214,14.010741119707728,1.0,360.0
29.0,9.03860465116279,215,13.866371095004705,1.0,360.0
30.0,8.5625,216,13.135965902181972,1.0,360.0
31.0,10.62570093457944,214,16.301178997187577,1.0,360.0
32.0,8.215841584158415,202,12.604147726392252,0.9060579775554206,326.1808719199514
33.0,8.31906976744186,215,12.762512911298007,0.9429441391424397,339.4598900912783
34.0,8.931481481481482,216,13.702030504725311,1.0,360.0
35.0,8.948372093023256,215,13.72794285477258,1.0,360.0
36.0,12.508837209302326,215,19.190149962901074,1.0,360.0
37.0,9.85813953488372,215,15.123642019174843,1.0,360.0
38.0,9.217592592592593,216,14.140961401051262,1.0,360.0
39.0,8.5803738317757,214,13.163386637334899,1.0,360.0
40.0,5.970093457943925,214,9.158883982060269,0.3104702749808444,111.76929899310399
41.0,8.473953488372093,215,13.000124272108822,1.0,360.0
42.0,9.46712962962963,216,14.523783008041047,1.0,360.0
43.0,9.363849765258216,213,14.365338537761938,1.0,360.0
44.0,8.306511627906977,215,12.74324712528632,0.9384074934148184,337.82669762933466
45.0,8.648837209302325,215,13.268418181012324,1.0,360.0
46.0,8.938785046728972,214,13.71323510432302,1.0,360.0
47.0,7.061574074074074,216,10.833354306892762,0.5532912265888267,199.1848415719776
48.0,8.289671361502348,213,12.717412011093636,0.9323454180374439,335.6443504934798
49.0,10.046511627906977,215,15.41262880935016,1.0,360.0
50.0,10.103636363636365,220,15.500265431915112,1.0,360.0
51.0,7.581512605042017,238,11.63100625597603,0.6990569939771716,251.66051783178176
52.0,8.774583333333334,240,13.46132875591485,1.0,360.0
53.0,9.23125,240,14.16191360403122,1.0,360.0
54.0,8.980334728033474,239,13.776977609066083,1.0,360.0
55.0,7.95857740585774,239,12.209471700230438,0.8180890868418355,294.51207126306076
56.0,8.69873949579832,238,13.344974646279747,1.0,360.0
57.0,8.854008438818566,237,13.583176986855722,1.0,360.0
58.0,8.390416666666667,240,12.87196814463447,0.9689792686752302,348.83253672308285
59.0,8.946218487394956,238,13.72463894935943,1.0,360.0
60.0,8.573023255813954,215,13.152109917312137,1.0,360.0
61.0,9.5275,240,14.616398847654159,1.0,360.0
62.0,9.81875,240,15.063213454253924,1.0,360.0
63.0,9.3725,240,14.37860909993583,1.0,360.0
64.0,8.857322175732218,239,13.588260681466704,1.0,360.0
65.0,8.764556962025315,237,13.445947024922178,1.0,360.0
66.0,9.720416666666667,240,14.91235759279821,1.0,360.0
67.0,9.609583333333335,240,14.742325138784569,1.0,360.0
68.0,7.832217573221758,239,12.015619618138563,0.7769094893125312,279.6874161525112
69.0,7.94875,240,12.194395207587615,0.8148390432708981,293.3420555775233
70.0,7.41875,240,11.381307683131388,0.6511912077899605,234.4288348043858
71.0,8.835146443514644,239,13.55424028295389,1.0,360.0
72.0,8.27824074074074,216,12.69987598253127,0.9282446873809818,334.16808745715343
73.0,7.852830188679245,212,12.047241996393083,0.7835371587359212,282.07337714493167
74.0,8.117289719626168,214,12.452956610235516,0.8716970547570505,313.8109397125382
75.0,8.639622641509433,212,13.254281860039388,1.0,360.0
76.0,8.37196261682243,214,12.843657281041937,0.9622025573267874,346.39292063764344
77.0,7.9,216,12.119606496611688,0.7988352911668571,287.58070482006855
78.0,8.467906976744185,215,12.990848152918009,0.9977622004144793,359.19439214921255
79.0,9.161971830985916,213,14.055632066403822,1.0,360.0
80.0,8.152830188679246,212,12.507480217783403,0.8839929781692539,318.2374721409314
81.0,9.232710280373832,214,14.164153860171165,1.0,360.0
82.0,6.524186046511628,215,10.008932606886791,0.4235917840360796,152.49304225298866
83.0,6.746976744186046,215,10.350721921686732,0.4748792921575263,170.95654517670945
84.0,7.893925233644859,214,12.110287031069516,0.7968548335523489,286.8677400788456
85.0,6.0325471698113216,212,9.254695932957183,0.3222293071098319,116.00255055953949
